event_id,event_date,year,reports_count,ra_deg,dec_deg,azimuth,entry_angle,distance_km,start_lat,start_long,end_lat,end_long,start_alt_m,end_alt_m
52513,2021-01-04,2021,71,94.36,20.21,82.55,22.34,96.78,42.769127050527,-73.479918893741,42.66217457199,-74.656274770843,80000.0,40237.241189314
52613,2021-01-07,2021,41,115.98,27.1,88.24,35.14,69.41,49.667235971683,-94.313449464927,49.652008821016,-95.278008161155,80000.0,31150.571838626
52686,2021-01-10,2021,53,148.02,26.37,89.61,45.2,46.23,38.21964342132,-77.032691496369,38.218032349119,-77.562241982927,80000.0,33450.643835486
52761,2021-01-13,2021,25,207.94,-36.72,170.01,17.2,132.75,34.002472313983,-77.143760328398,35.17918474204,-77.39383913865,80000.0,38902.13710965
52797,2021-01-15,2021,58,232.04,77.36,3.41,64.97,23.06,52.57067179253,104.49138837003,52.363486548674,104.4711004744,80000.0,30601.175456425
52894,2021-01-18,2021,36,283.79,80.79,356.59,27.39,98.47,36.954136224584,-96.198275610083,36.069559164464,-96.132375339588,80000.0,28985.407040243
52976,2021-01-22,2021,230,207.44,75.37,347.73,64.47,19.33,51.358214716619,3.995706948992,51.188269863308,4.054914475995,80000.0,39535.812305237
53018,2021-01-23,2021,44,250.59,59.03,347.88,24.3,105.19,54.847881524552,12.703433376409,53.922889556518,13.048478268162,80000.0,32507.748292998
53160,2021-02-03,2021,27,298.32,86.94,0.0,25.03,111.13,29.0,-98.0,28.0,-98.0,80000.0,28121.0
53193,2021-02-04,2021,114,83.5,45.29,40.12,83.13,4.65,40.248491622364,-88.291723359759,40.216482076564,-88.327074885275,80000.0,41385.44945521
53312,2021-02-09,2021,26,149.97,56.69,35.63,19.58,224.92,28.217325582271,-76.560315912419,26.578383374975,-77.89813306581,80000.0,0.0
53295,2021-02-11,2021,32,118.83,-26.26,166.66,23.46,67.2,38.426618428858,-116.39613218932,39.015147480272,-116.57418742582,80000.0,50830.834761453
53327,2021-02-12,2021,93,301.81,21.69,81.64,21.65,95.22,50.820405834927,1.151181159546,50.703492583909,-0.190837669224,80000.0,42212.108607666
